DateKey,Date
1,2023-01-01
2,2023-01-02
3,2023-01-03
4,2023-01-04
5,2023-01-05
6,2023-01-06
7,2023-01-07
8,2023-01-08
9,2023-01-14
10,2023-01-19
11,2023-01-21
12,2023-01-22
13,2023-01-26
14,2023-01-27
15,2023-01-28
16,2023-01-30
17,2023-01-31
18,2023-02-02
19,2023-02-03
20,2023-02-04
21,2023-02-08
22,2023-02-10
23,2023-02-11
24,2023-02-13
25,2023-02-15
26,2023-02-16
27,2023-02-19
28,2023-02-20
29,2023-02-21
30,2023-02-25
31,2023-03-01
32,2023-03-02
33,2023-03-03
34,2023-03-04
35,2023-03-05
36,2023-03-06
37,2023-03-07
38,2023-03-10
39,2023-03-19
40,2023-03-20
41,2023-03-21
42,2023-03-23
43,2023-03-25
44,2023-03-27
45,2023-03-29
46,2023-03-31
47,2023-04-02
48,2023-04-05
49,2023-04-06
50,2023-04-07
51,2023-04-11
52,2023-04-13
53,2023-04-15
54,2023-04-16
55,2023-04-19
56,2023-04-22
57,2023-04-23
58,2023-04-26
59,2023-04-27
60,2023-04-29
61,2023-04-30
62,2023-05-01
63,2023-05-04
64,2023-05-06
65,2023-05-07
66,2023-05-08
67,2023-05-09
68,2023-05-11
69,2023-05-14
70,2023-05-16
71,2023-05-19
72,2023-05-23
73,2023-05-24
74,2023-05-26
75,2023-05-28
76,2023-05-29
77,2023-05-30
78,2023-06-02
79,2023-06-03
80,2023-06-05
81,2023-06-09
82,2023-06-13
83,2023-06-16
84,2023-06-21
85,2023-06-27
86,2023-06-28
87,2023-06-29
88,2023-07-01
89,2023-07-02
90,2023-07-03
91,2023-07-04
92,2023-07-05
93,2023-07-07
94,2023-07-08
95,2023-07-11
96,2023-07-14
97,2023-07-16
98,2023-07-18
99,2023-07-19
100,2023-07-20
101,2023-07-22
102,2023-07-25
103,2023-07-26
104,2023-07-27
105,2023-07-28
106,2023-08-03
107,2023-08-05
108,2023-08-06
109,2023-08-07
110,2023-08-12
111,2023-08-14
112,2023-08-16
113,2023-08-17
114,2023-08-18
115,2023-08-19
116,2023-08-22
117,2023-08-23
118,2023-08-25
119,2023-08-27
120,2023-08-28
121,2023-08-29
122,2023-08-30
123,2023-09-01
124,2023-09-02
125,2023-09-03
126,2023-09-04
127,2023-09-05
128,2023-09-06
129,2023-09-07
130,2023-09-12
131,2023-09-16
132,2023-09-17
133,2023-09-24
134,2023-09-25
135,2023-09-27
136,2023-10-03
137,2023-10-04
138,2023-10-08
139,2023-10-09
140,2023-10-10
141,2023-10-13
142,2023-10-15
143,2023-10-16
144,2023-10-17
145,2023-10-19
146,2023-10-22
147,2023-10-23
148,2023-10-24
149,2023-10-26
150,2023-10-28
151,2023-10-29
152,2023-11-01
153,2023-11-03
154,2023-11-08
155,2023-11-11
156,2023-11-16
157,2023-11-17
158,2023-11-20
159,2023-11-22
160,2023-11-26
161,2023-11-27
162,2023-11-28
163,2023-11-29
164,2023-11-30
165,2023-12-02
166,2023-12-03
167,2023-12-05
168,2023-12-10
169,2023-12-12
170,2023-12-21
171,2023-12-22
172,2023-12-23
173,2023-12-24
174,2023-12-28
175,2024-01-01
176,2024-01-04
177,2024-01-06
178,2024-01-07
179,2024-01-12
180,2024-01-16
181,2024-01-18
182,2024-01-20
183,2024-01-23
184,2024-01-24
185,2024-01-29
186,2024-01-31
187,2024-02-01
188,2024-02-02
189,2024-02-08
190,2024-02-15
191,2024-02-17
192,2024-02-18
193,2024-02-19
194,2024-02-20
195,2024-02-21
196,2024-02-28
197,2024-03-04
198,2024-03-07
199,2024-03-12
200,2024-03-15
201,2024-03-20
202,2024-03-22
203,2024-03-23
204,2024-03-25
205,2024-03-26
206,2024-03-27
207,2024-03-28
208,2024-03-29
209,2024-04-02
210,2024-04-03
211,2024-04-04
212,2024-04-07
213,2024-04-08
214,2024-04-09
215,2024-04-13
216,2024-04-14
217,2024-04-15
218,2024-04-16
219,2024-04-17
220,2024-04-22
221,2024-04-23
222,2024-04-25
223,2024-04-28
